Demo passwords for FNS_rebuild users

admin_kirill: AdminKirill#2026
admin_marta: AdminMarta#2026
ivan_solver: IvanSolver#2026
lena_crypto: LenaCrypto#2026
test_reader: TestReader#2026
blocked_nick: BlockedNick#2026
olga_texts: OlgaTexts#2026
max_factorial: MaxFactorial#2026
vera_archive: VeraArchive#2026
pavel_notes: PavelNotes#2026
sasha_lab: SashaLab#2026
guest_demo: GuestDemo#2026

Note: blocked_nick is inactive in the dump. The app will reject this login until users.is_active is set to TRUE.
